Time,Outage1,Outage2,Outage3,Outage4,Outage5,Outage6,Outage7,Outage8,Outage9,Outage10,Outage11,Outage12,Outage13,Outage14,Outage15,Outage16,Outage17,Outage18,Outage19,Outage20,Outage21,Outage22,Outage23,Outage24,Outage25,Outage26,Outage27,Outage28,Outage29,Outage30,Outage31,Outage32,Outage33,Outage34,Outage35,Outage36,Outage37,Outage38,Outage39,Outage40,Outage41,Outage42,Outage43,Outage44,Outage45,Outage46,Outage47
6.69732,1.023201942,1.01929009,1.019952893,1.024295092,1.02438581,1.02273345,1.01929009,1.029548407,1.020048857,1.017935634,1.021130919,1.030486226,1.02438581,1.014041662,1.021314502,1.029548407,1.01861918,1.01929009,1.028282404,1.029548407,1.028113961,1.02052784,1.024289012,1.048802495,1.026021838,1.018015385,1.025804043,1.022056222,1.016894817,1.021980166,1.023201942,1.026078105,1.017062187,1.014270067,1.020048857,1.01929009,1.015301466,1.019608378,1.027415752,1.02248323,1.021130919,1.026066065,1.027805805,1.020048857,1.012369633,1.025785327,1.028113961
6.70565,1.02314651,1.019758582,1.019945979,1.0241431,1.024285316,1.022693634,1.019758582,1.029457331,1.020010948,1.017837644,1.021036625,1.030388713,1.024285316,1.014327168,1.0212605,1.029457331,1.018585086,1.019758582,1.028230548,1.029457331,1.028433442,1.020495772,1.024222374,1.047731996,1.02595222,1.017949581,1.025733232,1.022004366,1.016865492,1.021915555,1.02314651,1.025997281,1.017413378,1.014427066,1.020010948,1.019758582,1.015285373,1.019568324,1.027269483,1.022438288,1.021036625,1.02599895,1.027596235,1.020010948,1.01235795,1.025718093,1.028433442
6.71398,1.023090363,1.020209908,1.019939303,1.023992181,1.024185419,1.022658706,1.020209908,1.029367924,1.019973755,1.017745495,1.020947933,1.030292988,1.024185419,1.014604211,1.021206498,1.029367924,1.018550873,1.020209908,1.028176546,1.029367924,1.028724194,1.020463109,1.024156809,1.046580672,1.025884867,1.017886162,1.025662184,1.021952748,1.016836524,1.02185142,1.023090363,1.025916696,1.01776123,1.014591932,1.019973755,1.020209908,1.015268922,1.019527912,1.027124286,1.022393227,1.020947933,1.025931358,1.027487755,1.019973755,1.012346506,1.025650382,1.028724194
6.72231,1.023033619,1.020642757,1.01993382,1.023842692,1.024086475,1.022628546,1.020642757,1.029277444,1.019937396,1.017659187,1.020864725,1.030196071,1.024086475,1.014867663,1.021152258,1.029277444,1.018516302,1.020642757,1.028120518,1.029277444,1.028991699,1.02042985,1.024092317,1.045293927,1.025817156,1.017825007,1.025591254,1.021901488,1.016807675,1.021787882,1.023033619,1.025836349,1.018117309,1.014774084,1.019937396,1.020642757,1.015252233,1.019487262,1.0269804,1.022348166,1.020864725,1.025863528,1.027472258,1.019937396,1.012335062,1.025582671,1.028991699
6.73064,1.022976041,1.021058321,1.01992774,1.023694396,1.023988605,1.022603035,1.021058321,1.029186368,1.019901872,1.017578483,1.02078712,1.030098557,1.023988605,1.015115619,1.021098018,1.029186368,1.018481851,1.021058321,1.028062582,1.029186368,1.029248476,1.020395994,1.024028897,1.043913722,1.025749445,1.017766356,1.025520444,1.021850824,1.016779661,1.021724701,1.022976041,1.025756359,1.018491745,1.014980078,1.019901872,1.021058321,1.015235424,1.019446492,1.026837945,1.022303343,1.02078712,1.025795579,1.027544379,1.019901872,1.012323976,1.025514722,1.029248476
6.73897,1.022918224,1.021460295,1.019920468,1.023547411,1.023891687,1.022580981,1.021460295,1.029095173,1.019867063,1.0175035,1.02071476,1.030000925,1.023891687,1.015349865,1.021043777,1.029095173,1.01844728,1.021460295,1.028004766,1.029095173,1.029500008,1.020361543,1.02396667,1.042465806,1.025681973,1.01770997,1.025449634,1.021800399,1.016751766,1.021661878,1.022918224,1.025676727,1.018886328,1.015200615,1.019867063,1.021460295,1.015218377,1.019405484,1.026697159,1.02225852,1.02071476,1.02572751,1.027694821,1.019867063,1.012313008,1.025446892,1.029500008
6.7473,1.022859812,1.0218606,1.019912601,1.023401856,1.023795724,1.022562623,1.0218606,1.029004216,1.01983285,1.017433882,1.020647645,1.029903769,1.023795724,1.015574813,1.020989656,1.029004216,1.018412709,1.0218606,1.027944088,1.029004216,1.029760122,1.020326495,1.023905873,1.040981889,1.025615215,1.017656088,1.0253793,1.021750331,1.016724467,1.021599531,1.022859812,1.025598884,1.019302368,1.015444875,1.01983285,1.0218606,1.01520133,1.019364476,1.026558042,1.022214055,1.020647645,1.025659442,1.027919292,1.01983285,1.012302279,1.025378942,1.029760122
6.75563,1.022801161,1.022256851,1.019903898,1.023257375,1.023701191,1.022547126,1.022256851,1.02891314,1.019799352,1.017369628,1.020585656,1.029806495,1.023701191,1.015802741,1.020935655,1.02891314,1.018378019,1.022256851,1.027881384,1.02891314,1.03003037,1.02029109,1.023846388,1.039485931,1.025548697,1.017604709,1.025309086,1.021700501,1.016697645,1.021537542,1.022801161,1.025520325,1.019723415,1.015696883,1.019799352,1.022256851,1.015184045,1.019323349,1.026420832,1.02216959,1.020585656,1.025591612,1.028213382,1.019799352,1.012291551,1.025311232,1.03003037
6.76396,1.022742391,1.022659183,1.019893885,1.023114085,1.02360785,1.022534251,1.022659183,1.028822422,1.019766569,1.017310739,1.020528555,1.029709578,1.02360785,1.016033411,1.020881891,1.028822422,1.018343449,1.022659183,1.027816892,1.028822422,1.030305386,1.02025497,1.023788095,1.037998438,1.025482774,1.017555594,1.025239468,1.02165091,1.016671419,1.021475673,1.022742391,1.025441647,1.020136356,1.015946865,1.019766569,1.022659183,1.015166521,1.019282103,1.026285529,1.022125244,1.020528555,1.025523901,1.028574347,1.019766569,1.012281179,1.025243521,1.030305386
6.77229,1.022683501,1.023072481,1.01988256,1.022971749,1.023515701,1.022523403,1.023072481,1.028731942,1.019734263,1.017256856,1.020476222,1.029613256,1.023515701,1.016278267,1.020828485,1.028731942,1.018308878,1.023072481,1.027751088,1.028731942,1.030583382,1.020218253,1.023731232,1.036528587,1.025417447,1.017508745,1.025170088,1.021601558,1.01664567,1.021413922,1.022683501,1.025363088,1.02053225,1.016187549,1.019734263,1.023072481,1.015148759,1.019240856,1.026152253,1.022081017,1.020476222,1.025456548,1.029000521,1.019734263,1.012271047,1.025176287,1.030583382
