Time,Outage1,Outage2,Outage3,Outage4,Outage5,Outage6,Outage7,Outage8,Outage9,Outage10,Outage11,Outage12,Outage13,Outage14,Outage15,Outage16,Outage17,Outage18,Outage19,Outage20,Outage21,Outage22,Outage23,Outage24,Outage25,Outage26,Outage27,Outage28,Outage29,Outage30,Outage31,Outage32,Outage33,Outage34,Outage35,Outage36,Outage37,Outage38,Outage39,Outage40,Outage41,Outage42,Outage43,Outage44,Outage45,Outage46,Outage47,Outage48,Outage49,Outage50,Outage51,Outage52
4.46488,0.996158481,0.986198187,1.005723238,1.009161115,0.969381988,1.036450624,1.00425148,1.011948705,1.007087588,1.009907961,0.986198187,0.996884227,0.996158481,1.007074833,1.009055376,0.988337159,1.011168361,1.006563425,1.022171855,1.017433286,1.036450624,1.020661235,0.973420501,1.009281158,0.969381988,0.96829921,0.996158481,1.008072376,1.019973159,0.975233614,1.017433286,1.009479165,1.007725716,1.00611043,1.027502656,1.007725716,1.036450624,1.012690783,1.004019499,1.009597182,1.006747842,1.007212996,1.008296967,1.006775022,1.0307374,1.006563425,1.00611043,0.975233614,1.008306861,1.009055376,1.007725716,0.964868069
4.47321,0.996136308,0.986147165,1.005802274,1.009371758,0.969216228,1.037118912,1.004375696,1.012115479,1.00717473,1.014768243,0.986147165,0.996498764,0.996136308,1.007205725,1.009098291,0.988452137,1.011125803,1.006680846,1.02224493,1.017678738,1.037118912,1.021223068,0.973311067,1.00936234,0.969216228,0.96811825,0.996136308,1.008138299,1.02025342,0.975067258,1.017678738,1.009528637,1.00781858,1.006311893,1.027860641,1.00781858,1.037118912,1.01278019,1.004197717,1.009625196,1.006861925,1.007309675,1.008357882,1.006887674,1.030673623,1.006680846,1.006311893,0.975067258,1.00840199,1.009098291,1.00781858,0.964824855
4.48154,0.996117651,0.986003995,1.005883932,1.009574533,0.969068825,1.03780818,1.004505277,1.012281537,1.007264256,1.019912601,0.986003995,0.995318592,0.996117651,1.007338285,1.009139776,0.988569975,1.011087418,1.006799102,1.022305965,1.017897725,1.03780818,1.021760225,0.973189354,1.009440303,0.969068825,0.967939615,0.996117651,1.008205175,1.020513892,0.974913359,1.017897725,1.009578347,1.007914186,1.006511569,1.028191447,1.007914186,1.03780818,1.012861371,1.004380465,1.009652257,1.00697422,1.007407069,1.008419991,1.007000804,1.03066349,1.006799102,1.006511569,0.974913359,1.008499146,1.009139776,1.007914186,0.964774489
4.48987,0.996103525,0.985783815,1.005968213,1.009769201,0.968942642,1.038515925,1.004639983,1.012445927,1.007356167,1.025224805,0.985783815,0.993525267,0.996103525,1.007472396,1.009179831,0.98869139,1.011053562,1.006918669,1.022355556,1.018090248,1.038515925,1.022271633,0.973053217,1.009515405,0.968942642,0.967770696,0.996103525,1.008273005,1.020753503,0.974772513,1.018090248,1.009628534,1.008012533,1.006709099,1.028493762,1.008012533,1.038515925,1.012935638,1.004567504,1.009678602,1.007084727,1.007506967,1.008483171,1.007116199,1.030704021,1.006918669,1.006709099,0.974772513,1.008598328,1.009179831,1.008012533,0.964721441
4.4982,0.996095121,0.985505819,1.006055593,1.009955168,0.968835235,1.039239526,1.004780293,1.012607574,1.007450461,1.030614138,0.985505819,0.991279185,0.996095121,1.007607818,1.009218693,0.988816857,1.011024714,1.007039428,1.022393823,1.018256426,1.039239526,1.022755146,0.972902417,1.009587884,0.968835235,0.967618525,0.996095121,1.008341908,1.020971656,0.974642396,1.018256426,1.00967896,1.008113503,1.006904244,1.028766632,1.008113503,1.039239526,1.013004899,1.004758716,1.009704471,1.007193685,1.007609487,1.008547664,1.007233977,1.030792236,1.007039428,1.006904244,0.974642396,1.008699536,1.009218693,1.008113503,0.964670897
4.50653,0.996094108,0.985189199,1.006146193,1.010132074,0.968741,1.039977193,1.004926205,1.012765288,1.00754714,1.035980463,0.985189199,0.988744259,0.996094108,1.0077461,1.009256244,0.988946855,1.011000872,1.007161021,1.02242136,1.018396258,1.039977193,1.023208976,0.972738922,1.00965786,0.968741,0.967487574,0.996094108,1.008411646,1.021167755,0.974518538,1.018396258,1.009729862,1.008217096,1.007096529,1.0290097,1.008217096,1.039977193,1.013070941,1.004954457,1.009730101,1.007301331,1.007714272,1.008613348,1.007353902,1.030924678,1.007161021,1.007096529,0.974518538,1.008802295,1.009256244,1.008217096,0.96462816
4.51486,0.996102214,0.984860241,1.006240249,1.01030004,0.96865207,1.040725827,1.005077839,1.012918234,1.007647514,1.041229486,0.984860241,0.986099422,0.996102214,1.00788331,1.009292841,0.98908174,1.010982394,1.007283449,1.022438765,1.018510699,1.040725827,1.023631334,0.972566068,1.009725451,0.96865207,0.967377484,0.996102214,1.008482337,1.021341085,0.974395931,1.018510699,1.009781003,1.008323312,1.007285833,1.02922225,1.008323312,1.040725827,1.013139844,1.005154252,1.009755373,1.007407427,1.007821321,1.008680105,1.007475734,1.031097889,1.007283449,1.007285833,0.974395931,1.008906722,1.009292841,1.008323312,0.964597821
4.52319,0.996120989,0.984545946,1.006337762,1.010458946,0.968560517,1.041483402,1.005235195,1.013059378,1.007748246,1.046274424,0.984545946,0.983529329,0.996120989,1.008021235,1.009328485,0.989222109,1.0109694,1.00740695,1.022446394,1.018599868,1.041483402,1.024020791,0.972388923,1.009791255,0.968560517,0.967283309,0.996120989,1.008554101,1.021491766,0.974269927,1.018599868,1.009832501,1.008431554,1.007471204,1.029404044,1.008431554,1.041483402,1.013205767,1.005358338,1.009780765,1.007512569,1.007930875,1.008748293,1.007599592,1.031308651,1.00740695,1.007471204,0.974269927,1.009012341,1.009328485,1.008431554,0.964581847
4.53152,0.996152818,0.984270453,1.006438971,1.010608435,0.968459964,1.042247415,1.005398154,1.013198614,1.007851362,1.05103898,0.984270453,0.981164992,0.996152818,1.008160353,1.009363413,0.989368081,1.010962129,1.007531285,1.022444844,1.018664241,1.042247415,1.024376154,0.972213864,1.00985527,0.968459964,0.967197955,0.996152818,1.008626819,1.021619797,0.974136651,1.018664241,1.009884357,1.008542061,1.00765276,1.029555321,1.008542061,1.042247415,1.013271332,1.005569935,1.00980556,1.00761652,1.008042574,1.008817673,1.007725358,1.03155303,1.007531285,1.00765276,0.974136651,1.009119034,1.009363413,1.008542061,0.964579225
4.53985,0.996199608,0.984057009,1.006543279,1.010748744,0.968346,1.043015003,1.005566716,1.01333189,1.007956862,1.055461049,0.984057009,0.979150772,0.996199608,1.008300066,1.009397745,0.989520073,1.01096034,1.007656574,1.022434711,1.01870501,1.043015003,1.024696112,0.972047389,1.009917855,0.968346,0.967112839,0.996199608,1.008700252,1.021725297,0.973992944,1.01870501,1.009936333,1.008654594,1.007830024,1.029676557,1.008654594,1.043015003,1.013338089,1.005781651,1.009831667,1.007719755,1.008156419,1.008888245,1.007852674,1.03182745,1.007656574,1.007830024,0.973992944,1.009226561,1.009397745,1.008654594,0.964584768
